,umap1,umap2,umap3,FP_cluster,FP_UMAP_label,logS0,rel,smiles_canonical,name,random,diversity
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0.23205847,0.9074818,2.1030653,3.0,1.0,-2.3555,UR,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,oxycarboxin,0.0,1.0
CC1=C(CC(O)=O)c2cc(F)ccc2\C1=C/c1ccc(cc1)[S@](C)=O,0.6912243,-0.13493483,2.7037423,3.0,1.0,-4.78,HR,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,sulindac form 1,0.0,1.0
CC1=C(CCCO1)C(=O)Nc1ccccc1,0.20987433,0.8177137,2.1610503,3.0,1.0,-2.56,UR,CC1=C(C(=O)Nc2ccccc2)CCCO1,pyracarbolid,0.0,1.0
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O,-0.09026704,-0.23216671,3.3175094,-1.0,1.0,-1.215,HR,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,cephradine,0.0,1.0
CC1=CC(=O)CC(C)(C)C1,-0.2698966,-1.8974332,-0.1182866,-1.0,1.0,-1.06,UR,CC1=CC(=O)CC(C)(C)C1,isophorone,0.0,1.0
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,-0.3176032,1.4583657,1.6339414,3.0,1.0,-3.4810000000000003,HR,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,diazoxide,0.0,1.0
CC1C(=O)NC(=O)NC1=O,-0.38458204,-1.4510766,-1.3480859,2.0,1.0,-1.126,HR,CC1C(=O)NC(=O)NC1=O,5-methylbarbituric acid,0.0,1.0
CCC(=O)Nc1ccccc1,0.15112899,0.8706701,2.2000158,3.0,1.0,-1.92,UR,CCC(=O)Nc1ccccc1,n-phenylpropanamide,0.0,0.0
CCC(=O)OC,4.003284,0.711967,0.62547225,0.0,1.0,-0.14,UR,CCC(=O)OC,methyl propionate,0.0,1.0
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c1ccccc1,-0.57017404,0.6250372,2.460926,3.0,1.0,-4.9849999999999985,HR,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,propoxyphene,0.0,1.0
CCC(=O)c1ccccc1,-0.27355447,0.4252646,2.3241348,3.0,1.0,-1.83,UR,CCC(=O)c1ccccc1,1-phenylpropan-1-one,0.0,0.0
CCC(Br)(CC)C(=O)NC(N)=O,3.3408973,0.8258458,0.41787535,0.0,1.0,-2.68,UR,CCC(Br)(CC)C(=O)NC(N)=O,carbromal,0.0,1.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,-0.4590696,-0.1375544,2.9863868,3.0,1.0,-4.145,HR,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,simvastatin,0.0,1.0
CCC(C)(C)CO,5.4544125,-1.1135261,-0.037341963,0.0,1.0,-1.04,UR,CCC(C)(C)CO,"2,2-dimethyl-1-butanol",0.0,0.0
CCC(C)(C)O,5.4377007,-1.1872743,0.03470916,0.0,1.0,0.088175,UR,CCC(C)(C)O,2-methylbutan-2-ol,0.0,1.0
CCC(C)(O)CC,5.6551065,-1.1104817,0.15796901,0.0,1.0,-0.3666666666666667,UR,CCC(C)(O)CC,3-methyl-3-pentanol,0.0,1.0
CCC(CC)C=O,,,,,,-1.52,UR,CCC(C=O)CC,2-ethylbutanal,1.0,2.0
CCC(CC)CO,5.9243383,-0.46626258,0.113923945,0.0,1.0,-1.17,UR,CCC(CC)CO,2-ethyl-1-butanol,0.0,1.0
CCC(O)(CC)CC,5.5240464,-1.0782386,-0.053807903,0.0,1.0,-0.85,UR,CCC(O)(CC)CC,3-ethyl-3-pentanol,0.0,1.0
CCC(O)CC,5.682236,-0.42265153,0.017453477,0.0,1.0,-0.239,UR,CCC(O)CC,3-pentanol,0.0,1.0
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,-0.6484914,-1.3884252,-1.6508701,2.0,1.0,-2.273,HR,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,cyclobarbital,0.0,0.0
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1,-0.7016747,-1.4053127,-1.6734625,2.0,1.0,-3.0,HR,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,heptabarbital,0.0,1.0
CCC1(C(=O)NC(=O)NC1=O)C1=C[C@@H]2CC[C@@H](C2)C1,,,,,,-2.773,HR,CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,reposal,1.0,2.0
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-0.7066759,-1.3714657,-1.7269335,2.0,1.0,-2.293,HR,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,phenobarbital,0.0,0.0
CCC1(C(=O)NCNC1=O)c1ccccc1,,,,,,-2.64,HR,CCC1(c2ccccc2)C(=O)NCNC1=O,primidone,1.0,2.0
CCC1(C(C)C)C(=O)NC(=O)NC1=O,,,,,,-2.153,HR,CCC1(C(C)C)C(=O)NC(=O)NC1=O,probarbital,1.0,2.0
CCC1(C)C(=O)NC(=O)NC1=O,,,,,,-1.162,HR,CCC1(C)C(=O)NC(=O)NC1=O,5-methyl-5-ethylbarbituric acid,1.0,2.0
CCC1(CC)C(=O)NC(=O)NC1=O,-0.5659202,-1.4717083,-1.6706147,2.0,1.0,-1.41,HR,CCC1(CC)C(=O)NC(=O)NC1=O,barbital,0.0,1.0
CCC1(CC)C(=O)NC[C@H](C)C1=O,-0.6046788,-1.7616011,-1.3743472,2.0,1.0,-0.382,HR,CCC1(CC)C(=O)NCC(C)C1=O,methyprylon,0.0,1.0
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-0.6032975,-1.5744493,-1.7951648,2.0,1.0,-2.253,HR,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,5-ethyl-5-(3-methylbut-2-enyl)barbituric acid,0.0,0.0
CCC1(CC=C)C(=O)NC(=O)NC1=O,-0.59360987,-1.6262075,-1.7346984,2.0,1.0,-1.614,HR,C=CCC1(CC)C(=O)NC(=O)NC1=O,5-ethyl-5-allylbarbituric acid,0.0,0.0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,,,,,,-2.47,HR,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,amobarbital,1.0,2.0
CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,1.5079556,1.0669646,2.7709737,3.0,1.0,-6.44,HR,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,glimepiride,0.0,1.0
CCC1C(=O)NC(=O)NC1=O,-0.39796573,-1.4257146,-1.3171843,2.0,1.0,-1.4269999999999998,HR,CCC1C(=O)NC(=O)NC1=O,5-ethylbarbituric acid,0.0,1.0
CCCC(=O)C=C,,,,,,-0.83,UR,C=CC(=O)CCC,hex-1-en-3-one,1.0,2.0
CCCC(=O)CC,,,,,,-0.83,UR,CCCC(=O)CC,3-hexanone,1.0,2.0
CCCC(=O)CCC,,,,,,-1.3,UR,CCCC(=O)CCC,4-heptanone,1.0,2.0
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(c1)C(C)=O,1.0934856,2.3680723,1.6130188,3.0,1.0,-2.4375,HR,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,acebutolol,0.0,1.0
CCCC(=O)OC,4.4151154,0.93367654,0.19118403,0.0,1.0,-0.82,UR,CCCC(=O)OC,methyl butyrate,0.0,0.0
CCCC(=O)OCC,4.3411407,0.9095244,0.19723387,0.0,1.0,-1.28,UR,CCCC(=O)OCC,ethyl butyrate,0.0,0.0
CCCC(C)(C)CO,5.5254893,-1.0363139,-0.10409702,0.0,1.0,-1.52,UR,CCCC(C)(C)CO,"2,2-dimethylpentanol",0.0,1.0
CCCC(C)(C)O,,,,,,-0.49,UR,CCCC(C)(C)O,2-methyl-2-pentanol,1.0,2.0
CCCC(C)(COC(N)=O)COC(N)=O,,,,,,-1.807,HR,CCCC(C)(COC(N)=O)COC(N)=O,meprobamate,1.0,2.0
CCCC(O)CCC,,,,,,-1.4,UR,CCCC(O)CCC,4-heptanol,1.0,2.0
CCCC1(CC)C(=O)NC(=O)NC1=O,,,,,,-1.4909999999999999,HR,CCCC1(CC)C(=O)NC(=O)NC1=O,5-ethyl-5-propylbarbituric acid,1.0,2.0
CCCC1(CCC)C(=O)NC(=O)NC1=O,,,,,,-2.5269999999999997,HR,CCCC1(CCC)C(=O)NC(=O)NC1=O,"5,5-dipropylbarbituric acid",1.0,2.0
CCCCC(=O)CCCC,,,,,,-2.583333333333333,UR,CCCCC(=O)CCCC,5-nonanone,1.0,2.0
CCCCC(=O)OC,4.4037304,0.9188941,0.08123139,0.0,1.0,-1.36,UR,CCCCC(=O)OC,methyl pentanoate,0.0,1.0
CCCCC(=O)OCC,,,,,,-1.75,UR,CCCCC(=O)OCC,ethyl pentanoate,1.0,2.0
CCCCC(C)(C)O,5.446302,-0.95941883,-0.13355945,0.0,1.0,-1.08,UR,CCCCC(C)(C)O,2-methyl-2-hexanol,0.0,0.0
CCCCC(C)=O,,,,,,-0.8000000000000002,UR,CCCCC(C)=O,2-hexanone,1.0,2.0
CCCCC1(CC)C(=O)NC(=O)NC1=O,-0.51028293,-1.6261771,-1.6872731,2.0,1.0,-1.686,HR,CCCCC1(CC)C(=O)NC(=O)NC1=O,butethal,0.0,0.0
CCCCC1(CC=C)C(=O)NC(=O)NC1=O,-0.55388063,-1.5224763,-1.7130294,2.0,1.0,-2.1719999999999997,HR,C=CCC1(CCCC)C(=O)NC(=O)NC1=O,idobutal,0.0,0.0
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,,,,,,-4.391,HR,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,phenylbutazone,1.0,2.0
CCCCCC(=O)OC,4.53831,0.9348241,-0.037108697,0.0,1.0,-1.913333333333333,UR,CCCCCC(=O)OC,methyl hexanoate,0.0,0.0
CCCCCC(=O)OCC,4.5123715,0.88418955,0.06833881,0.0,1.0,-2.336666666666666,UR,CCCCCC(=O)OCC,ethyl hexanoate,0.0,0.0
CCCCCC(C)(C)O,5.415735,-0.987347,-0.041479047,0.0,1.0,-1.72,UR,CCCCCC(C)(C)O,2-methyl-2-heptanol,0.0,1.0
CCCCCC(C)=O,,,,,,-1.44,UR,CCCCCC(C)=O,2-heptanone,1.0,2.0
CCCCCC1(CC)C(=O)NC(=O)NC1=O,-0.77628314,-1.4316719,-1.8938112,2.0,1.0,-2.34,HR,CCCCCC1(CC)C(=O)NC(=O)NC1=O,5-ethyl-5-pentylbarbituric acid,0.0,0.0
CCCCCC=O,,,,,,-1.3,UR,CCCCCC=O,caproaldehyde,1.0,2.0
CCCCCCC(=O)OCC,4.262138,0.70124596,0.080107406,0.0,1.0,-2.73,UR,CCCCCCC(=O)OCC,ethyl heptanoate,0.0,1.0
CCCCCCC(C)=O,4.474291,0.55008703,-0.046863407,0.0,1.0,-2.05,UR,CCCCCCC(C)=O,2-octanone,0.0,0.0
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,-0.66241825,-1.5997379,-1.8481159,2.0,1.0,-3.049,HR,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,hexethal,0.0,0.0
CCCCCCC=O,4.936225,0.28568476,-0.37603554,0.0,1.0,-1.7,UR,CCCCCCC=O,heptanal,0.0,0.0
CCCCCCCC(C)=O,4.5055776,0.5867493,-0.13318893,0.0,1.0,-2.58,UR,CCCCCCCC(C)=O,2-nonanone,0.0,1.0
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,,,,,,-3.218,HR,CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,5-ethyl-5-heptylbarbituric acid,1.0,2.0
CCCCCCCC=O,4.9208956,0.24934474,-0.28999448,0.0,1.0,-2.36,UR,CCCCCCCC=O,octanal,0.0,1.0
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-0.5262397,-1.4556139,-1.8209742,2.0,1.0,-3.943,HR,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,5-ethyl-5-octylbarbituric acid,0.0,1.0
CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,,,,,,-4.462,HR,CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,5-ethyl-5-nonylbarbituric acid,1.0,2.0
CCCCCCCCC[C@@H](C)O,5.5465326,-0.19549818,-0.23474443,0.0,1.0,-2.94,UR,CCCCCCCCCC(C)O,2-undecanol,0.0,1.0
CCCCCCCCO,,,,,,-2.385,UR,CCCCCCCCO,1-octanol,1.0,2.0
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,5.3938065,0.04250105,-0.3911759,0.0,1.0,-1.81,HR,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,ibutilide,0.0,1.0
CCCCCCCO,5.214785,-0.13680966,-0.31378284,0.0,1.0,-1.8175,UR,CCCCCCCO,1-heptanol,0.0,0.0
CCCCCCCOC(N)=O,4.4531817,0.47883973,-0.22832641,0.0,1.0,-2.62,UR,CCCCCCCOC(N)=O,heptyl carbamate,0.0,0.0
CCCCCCC[C@@H](C)O,5.6308384,-0.21357848,-0.27898157,0.0,1.0,-2.74,UR,CCCCCCCC(C)O,2-nonanol,0.0,0.0
CCCCCCO,5.1699767,-0.21987483,-0.2922246,0.0,1.0,-1.2375,UR,CCCCCCO,1-hexanol,0.0,0.0
CCCCCCOC(C)=O,4.4553876,0.55272,-0.09341009,0.0,1.0,-2.46,UR,CCCCCCOC(C)=O,hexyl acetate,0.0,1.0
CCCCCCOC(N)=O,4.2967606,0.58727866,-0.12777913,0.0,1.0,-1.92,UR,CCCCCCOC(N)=O,hexyl carbamate,0.0,0.0
CCCCCC[C@@H](C)O,,,,,,-1.99,UR,CCCCCCC(C)O,2-octanol,1.0,2.0
CCCCCO,5.196528,-0.42301312,-0.12857595,0.0,1.0,-0.60225,UR,CCCCCO,1-pentanol,0.0,1.0
CCCCCOC(=O)CC,4.5359635,0.8275234,-0.12994793,0.0,1.0,-2.25,UR,CCCCCOC(=O)CC,pentyl propanoate,0.0,1.0
CCCCCOC(C)=O,4.3118587,0.82931185,-0.25051945,0.0,1.0,-1.8875,UR,CCCCCOC(C)=O,pentyl acetate,0.0,0.0
CCCCCOC(N)=O,4.172754,0.76295555,-0.09125648,0.0,1.0,-1.47,UR,CCCCCOC(N)=O,pentyl carbamate,0.0,1.0
CCCCC[C@@H](C)O,5.544848,-0.33159018,-0.32137614,0.0,1.0,-1.55,UR,CCCCCC(C)O,2-heptanol ,0.0,1.0
CCCCC[C@@H](O)CC,5.516901,-0.16536967,-0.18065645,0.0,1.0,-1.98,UR,CCCCCC(O)CC,3-octanol,0.0,1.0
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,5.1422954,0.3788286,-0.39568573,0.0,1.0,-3.67,HR,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,alprostadil,0.0,1.0
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,5.079498,0.47978902,-0.35252577,0.0,1.0,-2.47,HR,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,prostaglandin e2,0.0,0.0
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,4.463103,1.0734949,-0.18234345,0.0,1.0,0.098,HR,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,dimorpholamine,0.0,1.0
CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,0.6233326,1.0027977,2.7682266,-1.0,1.0,-3.511,HR,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,bupivacaine,0.0,1.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1.4880149,0.8642163,2.6946762,3.0,1.0,-3.4665,HR,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,tolbutamide,0.0,0.0
CCCCNC(=O)OC[C@@](C)(CCC)COC(N)=O,4.0750675,0.8456218,-0.33751273,0.0,1.0,-2.739,HR,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,tybamate,0.0,1.0
CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O,0.20310035,0.6599095,2.0911114,3.0,1.0,-3.562,HR,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,bumetanide,0.0,1.0
CCCCNc1ccc(cc1)C(=O)OCCN(C)C,0.9944554,-0.29840222,1.9712301,3.0,1.0,-3.011,HR,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,tetracaine,0.0,1.0
CCCCOC,4.6842546,0.30678308,0.04064633,0.0,1.0,-0.99,UR,CCCCOC,methyl butyl ether ,0.0,1.0
CCCCOC(=O)c1ccc(N)cc1,,,,,,-3.1310000000000002,HR,CCCCOC(=O)c1ccc(N)cc1,butamben,1.0,2.0
CCCCOC(=O)c1ccc(O)cc1,,,,,,-3.1010000000000004,HR,CCCCOC(=O)c1ccc(O)cc1,butylparaben,1.0,2.0
CCCCOC(C)=O,4.3338237,0.7771438,0.13937385,0.0,1.0,-1.29,UR,CCCCOC(C)=O,butyl acetate,0.0,0.0
CCCCOC(N)=O,4.2457047,0.69552517,-0.14005414,0.0,1.0,-0.66,UR,CCCCOC(N)=O,butyl carbamate,0.0,0.0
CCCCOCCCC,4.6112494,0.2689393,0.019596225,0.0,1.0,-1.885,UR,CCCCOCCCC,dibutyl ether ,0.0,1.0
CCCCOCCO,4.8305087,0.025140794,-0.04768255,0.0,1.0,-0.42,UR,CCCCOCCO,2-butoxyethanol,0.0,1.0
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,0.624912,1.8575414,2.1012707,3.0,1.0,-4.39,HR,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,dibucaine,0.0,1.0
CCCCOc1ccc(OCCCN2CCOCC2)cc1,-0.08277316,1.6934515,2.2839067,3.0,1.0,-3.5,HR,CCCCOc1ccc(OCCCN2CCOCC2)cc1,pramoxine,0.0,1.0
CCCC[C@@H](C)O,5.5880437,-0.22689399,-0.35440984,0.0,1.0,-0.89,UR,CCCCC(C)O,2-hexanol,0.0,0.0
CCCC[C@@H](CC)C=O,5.4535913,-0.11605729,-0.23663937,0.0,1.0,-2.13,UR,CCCCC(C=O)CC,2-ethylhexanal,0.0,1.0
CCCC[C@@H](CC)CO,5.5221953,-0.27286258,-0.08854347,0.0,1.0,-2.11,UR,CCCCC(CC)CO,2-ethyl-1-hexanol,0.0,1.0
CCCC[C@@H](O)CC,5.524823,-0.1945055,-0.21569549,0.0,1.0,-1.47,UR,CCCCC(O)CC,3-heptanol ,0.0,0.0
CCCC[C@H](C)[C@H](C)O,5.746438,-0.4784653,-0.079121545,0.0,1.0,-1.72,UR,CCCCC(C)C(C)O,3-methylheptan-2-ol,0.0,1.0
CCCC[C@](C)(O)CC,5.4642534,-1.0459359,-0.060615595,0.0,1.0,-1.6,UR,CCCCC(C)(O)CC,3-methyl-3-heptanol,0.0,1.0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0.62594575,1.797403,2.2132866,3.0,1.0,-8.174,HR,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,amiodarone,0.0,1.0
CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,,,,,,-1.625,HR,CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,1-butyltheobromine,1.0,2.0
CCCCn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-0.39360437,1.8931556,-0.52373207,4.0,1.0,-1.745,HR,CCCCn1c(C)nc2c1c(=O)n(C)c(=O)n2C,7-butyl-8-methyltheophylline,0.0,1.0
CCCCn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.33810088,1.9322883,-0.46045426,4.0,1.0,-1.805,HR,CCCCn1cnc2c1c(=O)n(C)c(=O)n2C,7-butyltheophylline,0.0,0.0
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,1.1424053,-0.15957955,2.4559262,3.0,1.0,-4.888,HR,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,probenecid,0.0,1.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.5283177,0.86391515,2.6044884,3.0,1.0,-3.2745,HR,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,chlorpropamide,0.0,1.0
CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,1.2931714,2.288248,1.4394351,3.0,1.0,-5.2,HR,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,propafenone,0.0,1.0
CCCOC(=O)CC,4.5298157,0.78069234,0.03470878,0.0,1.0,-1.34,UR,CCCOC(=O)CC,propyl propanoate,0.0,0.0
CCCOC(=O)CCC,4.2835207,0.8279242,0.18245119,0.0,1.0,-1.92,UR,CCCOC(=O)CCC,propyl butyrate,0.0,1.0
CCCOC(=O)c1ccc(O)cc1,0.915225,-0.4738664,1.8556645,3.0,1.0,-2.557,HR,CCCOC(=O)c1ccc(O)cc1,propylparaben,0.0,0.0
CCCOC(=O)c1ccccc1,0.08287885,0.3357678,2.1532092,3.0,1.0,-2.67,UR,CCCOC(=O)c1ccccc1,propyl benzoate,0.0,1.0
CCCOC(C)=O,4.2873893,0.7859294,0.18936743,0.0,1.0,-0.7200000000000001,UR,CCCOC(C)=O,propyl acetate,0.0,1.0
CCCOC(C)C,4.9620037,0.32213235,0.23182888,0.0,1.0,-1.34,UR,CCCOC(C)C,propyl isopropyl ether,0.0,1.0
CCCOC=O,4.7059813,0.37279782,0.1975011,0.0,1.0,-0.49,UR,CCCOC=O,propyl formate,0.0,1.0
CCCOCC,4.6941156,0.45438546,0.17551856,0.0,1.0,-0.66,UR,CCCOCC,ethyl propyl ether,0.0,1.0
CCCOCCC,,,,,,-1.4466666666666659,UR,CCCOCCC,dipropyl ether,1.0,2.0
CCCOc1ccc2[C@@H]([C@H]([C@@H](c2c1)c1ccc(OC)cc1OCC(O)=O)C(O)=O)c1ccc2OCOc2c1,0.53454816,1.5329989,1.2383504,3.0,1.0,-6.771,HR,CCCOc1ccc2c(c1)C(c1ccc(OC)cc1OCC(=O)O)C(C(=O)O)C2c1ccc2c(c1)OCO2,sb209670,0.0,1.0
CCCSCCC,4.9355073,-0.28951827,0.023252256,0.0,1.0,-2.58,UR,CCCSCCC,dipropylsulfide,0.0,1.0
CCC[C@@H](C)O,5.7359786,-0.15446658,-0.2265891,0.0,1.0,-0.29,UR,CCCC(C)O,2-pentanol,0.0,1.0
CCC[C@@H](O)CC,5.7567406,-0.2810315,-0.1097064,0.0,1.0,-0.8000000000000002,UR,CCCC(O)CC,3-hexanol,0.0,0.0
CCC[C@@H](O)[C@H](CC)CO,5.809811,-0.2975169,-0.0444522,0.0,1.0,-0.54,UR,CCCC(O)C(CC)CO,"2-ethylhexane-1,3-diol",0.0,1.0
CCC[C@@]1(CCc2ccccc2)CC(=O)[C@@H]([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1,,,,,,-6.3,HR,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,tipranavir,1.0,2.0
CCC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,,,,,,-2.41,HR,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,pentobarbital,1.0,2.0
CCC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-0.55054027,-1.711755,-1.6109383,2.0,1.0,-2.333,HR,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,secobarbital,0.0,1.0
CCC[C@H](C)CO,5.7532763,-0.38764265,-0.15039623,0.0,1.0,-1.11,UR,CCCC(C)CO,2-methylpentanol,0.0,0.0
CCC[C@H](O)C=C,,,,,,-0.59,UR,C=CC(O)CCC,1-hexene-3-ol,1.0,2.0
CCC[C@](C)(O)CC,5.4717903,-1.119276,-0.029690553,0.0,1.0,-0.9866666666666668,UR,CCCC(C)(O)CC,3-methyl-3-hexanol,0.0,0.0
CCC[N+]([O-])=O,1.6663152,0.4682066,0.14550439,-1.0,1.0,-0.8000000000000002,UR,CCC[N+](=O)[O-],1-nitropropane,0.0,1.0
CCC[S@](=O)CCCN(CC)C[C@@H](O)COc1ccc(cc1)C#N,1.2017124,2.2733026,1.5210704,3.0,1.0,-1.17,HR,CCCS(=O)CCCN(CC)CC(O)COc1ccc(C#N)cc1,almokalant,0.0,1.0
CCC\C(=C(/C)O)C(C)=O,4.194481,0.68803614,0.1759289,0.0,1.0,-0.88,UR,CCCC(C(C)=O)=C(C)O,"3-propylpentane-2,4-dione",0.0,1.0
CCC\C=C(\CC)C=O,4.7922688,0.30306035,-0.1768993,0.0,1.0,-2.46,UR,CCCC=C(C=O)CC,2-ethyl-2-hexenal,0.0,1.0
CCCc1cc(=O)[nH]c(=S)[nH]1,-0.75926894,0.14140247,-0.8496796,-1.0,1.0,-2.185,HR,CCCc1cc(=O)[nH]c(=S)[nH]1,propylthiouracil,0.0,1.0
CCCn1c(=O)n(C)c2ncn(C)c2c1=O,-0.345367,1.9328127,-0.3805409,4.0,1.0,-1.207,HR,CCCn1c(=O)c2c(ncn2C)n(C)c1=O,1-propyltheobromine,0.0,0.0
CCN(CC)C(=O)C(\Cl)=C(/C)OP(=O)(OC)OC,3.8694284,0.79462105,1.020101,0.0,1.0,0.523,UR,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,dimecron,0.0,1.0
CCN(CC)C(=O)CSc1ccc(Cl)nn1,2.388682,0.788675,1.6918414,0.0,1.0,-1.716,HR,CCN(CC)C(=O)CSc1ccc(Cl)nn1,azintamide,0.0,1.0
CCN(CC)C(=O)Nc1ccc(OC[C@@H](O)CNC(C)(C)C)c(c1)C(C)=O,1.1915067,2.1447103,1.571314,3.0,1.0,-1.9,HR,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,celiprolol,0.0,1.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,4.0874925,0.9280474,0.74020725,0.0,1.0,-2.995,HR,CCN(CC)C(=S)SSC(=S)N(CC)CC,disulfiram,0.0,1.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,,,,,,-1.874,HR,CCN(CC)CC(=O)Nc1c(C)cccc1C,lidocaine,1.0,2.0
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,0.7020437,1.8931991,1.7924547,3.0,1.0,-4.35,LR,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,quinacrine,0.0,1.0
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,0.64340174,1.8503577,2.0293343,3.0,1.0,-3.89,LR,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,chloroquine,0.0,1.0
